udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,twf,hdf,pwf,osf,rnf,machine_failure,cons_number
4120,L51299,L,302.1,310.7,1325,45.1,208,0,1,0,0,0,1,51299
1390,L48569,L,298.9,310.2,1533,42.8,138,0,0,0,0,0,0,48569
5815,M20674,M,301.3,311.0,1402,47.5,197,0,0,0,0,0,0,20674
8789,L55968,L,297.4,308.5,1369,53.2,43,0,0,0,0,0,0,55968
4203,L51382,L,302.4,311.0,1555,40.6,205,0,0,0,0,0,0,51382
2363,H31776,H,299.3,308.6,1520,41.4,67,0,0,0,0,0,0,31776
2118,H31531,H,299.4,308.9,1762,29.3,91,0,0,0,0,0,0,31531
5541,L52720,L,302.4,311.8,1493,38.4,132,0,0,0,0,0,0,52720
1465,L48644,L,298.8,310.0,1412,46.3,107,0,0,0,0,0,0,48644
3693,L50872,L,302.1,311.3,1758,24.4,200,0,0,0,0,0,0,50872
3116,L50295,L,299.9,309.2,1658,34.8,16,0,0,0,0,0,0,50295
9908,M24767,M,298.6,309.1,1487,43.2,206,0,0,0,0,0,0,24767
6517,H35930,H,301.1,310.0,1470,40.1,23,0,0,0,0,0,0,35930
3277,L50456,L,301.3,310.0,1438,40.9,7,0,0,0,0,0,0,50456
4379,M19238,M,301.9,309.6,1385,45.8,217,0,0,0,0,0,0,19238
7991,M22850,M,301.1,312.4,1809,25.1,126,0,0,0,0,0,0,22850
5826,L53005,L,301.3,311.1,1413,42.0,221,0,0,0,0,0,0,53005
3982,M18841,M,302.2,311.3,1931,21.9,101,0,0,0,0,0,0,18841
5121,M19980,M,304.2,313.6,1424,43.7,151,0,0,0,0,0,0,19980
5415,L52594,L,302.6,312.3,1534,34.3,31,0,0,0,0,0,0,52594
435,M15294,M,297.5,308.5,1484,44.7,40,0,0,0,0,0,0,15294
8741,M23600,M,297.4,308.8,1573,33.9,123,0,0,0,0,0,0,23600
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,47334
6590,M21449,M,301.6,310.6,1553,38.9,0,0,0,0,0,0,0,21449
6426,L53605,L,300.3,309.9,1393,56.1,12,0,0,0,0,0,0,53605
972,L48151,L,295.9,306.6,1557,41.1,113,0,0,0,0,0,0,48151
3263,L50442,L,301.3,310.1,1558,36.3,184,0,0,0,0,0,0,50442
7218,L54397,L,299.9,309.8,1716,28.2,117,0,0,0,0,0,0,54397
7441,L54620,L,300.0,311.4,1655,29.6,30,0,0,0,0,0,0,54620
7318,L54497,L,299.9,310.3,1638,29.1,152,0,0,0,0,0,0,54497
2851,L50030,L,300.4,309.3,1671,35.0,209,0,0,0,0,0,0,50030
3290,M18149,M,301.2,310.1,1295,56.6,39,0,0,0,0,0,0,18149
6133,L53312,L,301.1,311.1,1429,42.5,123,0,0,0,0,0,0,53312
7510,L54689,L,300.6,311.9,1372,60.1,212,0,0,0,1,0,1,54689
949,M15808,M,295.6,306.3,1426,45.5,53,0,0,0,0,0,0,15808
1999,H31412,H,298.3,308.0,1637,30.8,2,0,0,0,0,0,0,31412
7369,M22228,M,299.6,310.2,1620,30.0,70,0,0,0,0,0,0,22228
7297,H36710,H,300.0,310.4,1881,21.9,102,0,0,0,0,0,0,36710
5244,L52423,L,303.7,313.1,1721,34.8,50,0,0,0,0,0,0,52423
8341,M23200,M,298.8,309.7,1480,38.1,157,0,0,0,0,0,0,23200
2822,M17681,M,300.3,309.6,1419,42.5,137,0,0,0,0,0,0,17681
8110,L55289,L,300.3,311.7,1821,26.3,202,0,0,0,0,0,0,55289
9715,L56894,L,299.1,310.1,1894,20.1,106,0,0,0,0,0,0,56894
4796,L51975,L,303.6,312.5,1431,49.0,162,0,0,0,0,0,0,51975
9727,L56906,L,298.8,309.8,1557,37.2,139,0,0,0,0,0,0,56906
3205,L50384,L,300.1,309.0,1404,54.8,29,0,0,0,0,0,0,50384
7448,M22307,M,300.3,311.9,1677,30.8,48,0,0,0,0,0,0,22307
6223,H35636,H,301.1,310.8,1792,25.8,121,0,0,0,0,0,0,35636
6111,L53290,L,300.7,310.8,1534,41.3,69,0,0,0,0,0,0,53290
9790,L56969,L,298.6,309.6,1715,28.4,90,0,0,0,0,0,0,56969
805,M15664,M,296.9,307.8,1544,37.6,109,0,0,0,0,0,0,15664
9304,L56483,L,298.2,309.0,1491,38.3,121,0,0,0,0,0,0,56483
7819,L54998,L,299.8,311.2,2142,16.6,144,0,0,0,0,0,0,54998
675,L47854,L,297.8,309.0,1456,41.2,0,0,0,0,0,0,0,47854
8443,L55622,L,298.6,310.0,1517,39.0,4,0,0,0,0,0,0,55622
1908,L49087,L,297.9,307.6,1504,42.4,180,0,0,0,0,0,0,49087
9452,H38865,H,298.0,308.7,1536,39.6,99,0,0,0,0,0,0,38865
2739,M17598,M,299.8,309.1,1496,44.4,155,0,0,0,0,0,0,17598
3146,M18005,M,300.5,310.0,1415,43.5,98,0,0,0,0,0,0,18005
6282,M21141,M,301.3,310.8,1455,41.2,56,0,0,0,0,0,0,21141
8704,M23563,M,297.2,308.6,1284,51.3,32,0,0,0,0,0,0,23563
4551,M19410,M,302.5,310.5,1507,40.2,201,0,0,0,0,0,0,19410
4066,M18925,M,301.9,310.7,1511,37.6,70,0,0,0,0,0,0,18925
4771,L51950,L,303.5,311.9,1344,49.3,93,0,1,0,0,0,1,51950
5104,L52283,L,304.1,313.4,1399,43.7,111,0,0,0,0,0,0,52283
9864,L57043,L,298.9,309.8,1411,56.3,84,0,0,0,0,0,0,57043
4020,M18879,M,302.0,310.9,1558,45.3,193,0,0,0,0,0,0,18879
260,M15119,M,298.1,308.2,1420,63.9,19,0,0,1,0,0,1,15119
4021,L51200,L,302.1,311.0,1351,49.5,196,0,0,0,0,0,0,51200
2780,L49959,L,300.1,309.5,1353,50.9,34,0,0,0,0,0,0,49959
8942,M23801,M,297.3,308.3,1595,32.2,29,0,0,0,0,0,0,23801
3132,L50311,L,300.1,309.5,1660,32.7,57,0,0,0,0,0,0,50311
1547,L48726,L,298.4,308.9,1391,48.4,100,0,0,0,0,0,0,48726
8292,L55471,L,298.9,310.5,1717,26.9,17,0,0,0,0,0,0,55471
1295,L48474,L,298.8,309.9,1486,40.3,126,0,0,0,0,0,0,48474
337,M15196,M,297.6,308.2,1995,20.5,10,0,0,0,0,0,0,15196
3184,L50363,L,300.1,309.3,1616,32.0,199,0,0,0,0,0,0,50363
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,47380
4044,M18903,M,302.0,310.8,1445,46.3,17,0,0,0,0,0,0,18903
9647,L56826,L,299.4,310.4,1582,31.7,181,0,0,0,0,0,0,56826
5307,H34720,H,304.0,313.2,1612,31.7,206,0,0,0,0,0,0,34720
1204,H30617,H,297.0,308.1,1410,47.6,79,0,0,0,0,0,0,30617
7904,L55083,L,300.8,312.3,1435,44.8,134,0,0,0,0,0,0,55083
511,L47690,L,297.5,309.3,1564,37.5,20,0,0,0,0,0,0,47690
1760,H31173,H,298.0,307.4,1606,35.2,195,0,0,0,0,0,0,31173
4206,L51385,L,302.3,310.8,1723,26.3,213,0,0,0,0,0,0,51385
4568,M19427,M,302.8,310.8,1451,44.7,32,0,0,0,0,0,0,19427
1656,M16515,M,298.2,308.0,1577,35.9,151,0,0,0,0,0,0,16515
9113,M23972,M,297.6,308.6,1482,38.3,39,0,0,0,0,0,0,23972
7344,L54523,L,299.6,310.2,1468,48.0,9,0,0,0,0,0,0,54523
3804,L50983,L,302.2,310.9,1531,37.5,60,0,0,0,0,0,0,50983
2813,M17672,M,300.0,309.3,1413,40.7,117,0,0,0,0,0,0,17672
3000,L50179,L,300.5,309.7,1395,61.0,157,0,0,0,0,0,0,50179
7202,L54381,L,300.0,309.8,1474,40.6,78,0,0,0,0,0,0,54381
5827,M20686,M,301.3,311.1,1492,41.2,223,0,0,0,0,0,0,20686
8131,H37544,H,300.0,311.2,1393,43.1,45,0,0,0,0,0,0,37544
7879,L55058,L,300.7,312.3,1418,49.0,69,0,0,0,0,0,0,55058
9586,M24445,M,299.3,310.5,1563,42.1,19,0,0,0,0,0,0,24445
3236,L50415,L,300.8,309.4,1946,20.5,111,0,0,0,0,0,0,50415
6140,L53319,L,300.8,310.7,1586,33.4,142,0,0,0,0,0,0,53319
8647,L55826,L,297.5,308.6,1497,43.9,91,0,0,0,0,0,0,55826
3378,H32791,H,301.5,310.8,1591,29.6,33,0,0,0,0,0,0,32791
7435,L54614,L,300.0,311.4,1508,38.2,18,0,0,0,0,0,0,54614
2157,M17016,M,299.4,308.9,1457,41.5,201,0,0,0,0,0,0,17016
9114,L56293,L,297.6,308.6,1744,28.5,42,0,0,0,0,0,0,56293
5682,L52861,L,302.2,311.6,1383,44.3,72,0,0,0,0,0,0,52861
8919,L56098,L,297.1,308.2,1402,51.2,186,0,0,0,0,0,0,56098
8727,L55906,L,297.2,308.6,1562,33.0,84,0,0,0,0,0,0,55906
1443,M16302,M,298.8,310.0,1486,38.5,55,0,0,0,0,0,0,16302
4863,L52042,L,303.5,312.1,1326,55.7,114,0,0,0,0,0,0,52042
1620,L48799,L,297.9,307.7,1590,34.6,57,0,0,0,0,0,0,48799
852,M15711,M,296.2,307.2,1389,48.6,7,0,0,0,0,0,0,15711
1628,L48807,L,297.9,307.8,1499,37.5,78,0,0,0,0,0,0,48807
3005,M17864,M,300.5,309.9,1466,53.2,172,0,0,0,0,0,0,17864
8383,L55562,L,298.9,310.0,1719,27.3,58,0,0,0,0,0,0,55562
6508,L53687,L,301.0,310.1,1558,32.6,0,0,0,0,0,0,0,53687
6597,M21456,M,301.5,310.7,1454,39.4,17,0,0,0,0,0,0,21456
428,M15287,M,297.5,308.5,1496,42.2,22,0,0,0,0,0,0,15287
2085,L49264,L,299.5,309.3,1442,46.2,5,0,0,0,0,0,0,49264
6915,H36328,H,300.9,311.3,1668,28.9,183,0,0,0,0,0,0,36328
6746,M21605,M,301.8,311.1,1395,44.6,171,0,0,0,0,0,0,21605
1394,L48573,L,299.1,310.4,1594,33.3,147,0,0,0,0,0,0,48573
4625,M19484,M,303.0,311.1,1428,39.8,181,0,0,0,0,0,0,19484
4302,L51481,L,301.7,310.2,1471,51.1,8,0,0,0,0,0,0,51481
9134,L56313,L,297.7,308.7,1479,45.7,93,0,0,0,0,0,0,56313
3042,L50221,L,300.4,309.5,1543,38.9,37,0,0,0,0,0,0,50221
2463,L49642,L,298.9,308.5,1742,34.5,117,0,0,0,0,0,0,49642
7489,L54668,L,300.3,311.7,1545,43.5,160,0,0,0,0,1,0,54668
4240,L51419,L,302.3,311.0,1446,37.6,75,0,0,0,0,0,0,51419
8751,L55930,L,297.3,308.5,1764,30.8,148,0,0,0,0,0,0,55930
