UDI,Date,System,Control,Product ID,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic
92,23/07/2015 10:25,1,B,L47271,L,,,1830,24.9,,No failure
93,25/07/2015 14:01,1,B,M14952,M,,,1727,27.1,,No failure
94,28/07/2015 17:55,1,C,L47273,L,,,,43,40,No failure
95,27/07/2015 21:20,1,B,L47274,L,,,1622,31.9,,No failure
96,25/07/2015 06:16,1,C,M14955,M,,,,52.2,44,No failure
97,23/11/2015 18:40,1,C,M14956,M,,,,35.3,47,No failure
98,22/11/2015 08:28,1,B,M14957,M,,,1750,29.9,,No failure
99,21/11/2015 03:40,1,C,L47278,L,,,,32.7,53,No failure
100,23/11/2015 10:06,1,A,L47279,L,298.8,308.8,1523,,,No failure
101,29/01/2016 00:19,1,A,L47280,L,298.8,308.9,1852,,,No failure
102,27/01/2016 22:25,1,A,L47281,L,298.8,308.8,1991,,,No failure
103,29/01/2016 11:40,1,A,L47282,L,298.8,308.8,1555,,,No failure
104,29/04/2016 01:46,1,C,M14963,M,,,,40.5,63,No failure
105,01/05/2016 16:02,1,A,L47284,L,298.8,308.7,1450,,,No failure
106,29/04/2016 09:48,1,A,L47285,L,298.8,308.7,1591,,,No failure
107,28/04/2016 16:45,1,B,L47286,L,,,1445,48.5,,No failure
108,26/04/2016 21:10,1,B,M14967,M,,,1497,46.8,,No failure
109,01/08/2016 05:16,1,C,H29522,H,,,,32.7,75,No failure
110,31/07/2016 05:49,1,A,L47289,L,298.9,308.7,1572,,,No failure
111,02/08/2016 17:56,1,C,L47290,L,,,,22.5,82,No failure
112,04/08/2016 19:28,1,A,H29525,H,298.7,308.6,1499,,,No failure
113,03/08/2016 21:45,1,C,M14972,M,,,,39.5,89,No failure
114,25/11/2016 14:10,1,B,M14973,M,,,1486,41.9,,No failure
115,24/11/2016 16:58,1,A,L47294,L,298.8,308.6,1680,,,No failure
116,06/03/2017 17:43,1,A,L47295,L,298.8,308.6,1431,,,No failure
117,03/03/2017 02:36,1,B,L47296,L,,,1564,34.1,,No failure
118,03/03/2017 15:57,1,C,L47297,L,,,,33,101,No failure
119,12/05/2017 04:54,1,A,M14978,M,298.8,308.6,1707,,,No failure
120,02/08/2017 01:40,1,B,L47299,L,,,1467,40.7,,No failure
121,03/08/2017 13:10,1,A,L47300,L,298.9,308.7,1433,,,No failure
122,03/08/2017 11:26,1,A,L47301,L,298.9,308.7,1558,,,No failure
123,11/10/2017 10:13,1,A,L47302,L,299,308.8,1310,,,No failure
124,13/10/2017 05:45,1,B,L47303,L,,,1546,43.4,,No failure
125,11/10/2017 22:29,1,A,L47304,L,298.9,308.7,1727,,,No failure
126,13/10/2017 11:27,1,C,L47305,L,,,,32.2,118,No failure
127,16/10/2017 04:57,1,A,L47306,L,299,308.6,1329,,,No failure
128,23/12/2017 07:33,1,B,L47307,L,,,1413,46.5,,No failure
129,24/12/2017 01:34,1,B,L47308,L,,,1587,38.6,,No failure
130,20/04/2018 13:09,1,C,L47309,L,,,,34.3,126,No failure
131,20/04/2018 06:05,1,A,L47310,L,298.8,308.4,1473,,,No failure
132,19/04/2018 07:30,1,C,L47311,L,,,,27.7,130,No failure
133,12/07/2018 09:37,1,C,M14992,M,,,,43.2,132,No failure
134,13/07/2018 16:45,1,C,M14993,M,,,,49.6,135,No failure
135,12/07/2018 19:53,1,B,L47314,L,,,1369,53,,No failure
136,02/10/2018 03:40,1,B,M14995,M,,,1711,28.5,,No failure
137,02/10/2018 07:49,1,A,H29550,H,298.7,308.5,1420,,,No failure
138,04/10/2018 17:36,1,C,L47317,L,,,,55.3,148,No failure
139,03/10/2018 08:47,1,C,H29552,H,,,,49.4,150,No failure
140,05/10/2018 16:31,1,C,L47319,L,,,,55.8,155,No failure
141,17/12/2018 07:00,1,C,L47320,L,,,,36.1,157,No failure
142,23/03/2019 22:19,1,B,L47321,L,,,1544,35.2,,No failure
143,24/03/2019 08:40,1,C,M15002,M,,,,28.2,161,No failure
144,23/03/2019 17:44,1,B,H29557,H,,,1407,50.5,,No failure
145,08/07/2019 11:40,1,C,M15004,M,,,,42.4,169,No failure
146,12/07/2019 19:49,1,B,L47325,L,,,1513,33.6,,No failure
147,10/07/2019 00:27,1,B,H29560,H,,,1612,36.1,,No failure
148,28/10/2019 05:41,1,B,L47327,L,,,1515,40.1,,No failure
149,30/10/2019 10:03,1,C,M15008,M,,,,48,181,No failure
150,26/02/2020 14:11,1,A,L47329,L,298.4,308.3,1473,,,No failure
151,21/06/2020 01:15,1,C,L47330,L,,,,42.7,186,No failure
152,20/06/2020 17:45,1,C,M15011,M,,,,37.6,188,No failure
153,17/06/2020 01:11,1,A,M15012,M,298.4,308.2,1584,,,No failure
154,16/09/2020 17:15,1,B,L47333,L,,,1850,27,,No failure
155,16/09/2020 13:29,1,B,L47334,L,,,1528,36.2,,No failure
156,15/09/2020 15:21,1,C,H29569,H,,,,19.8,198,No failure
157,13/09/2020 21:59,1,A,M15016,M,298.4,308.1,1495,,,No failure
158,16/09/2020 03:05,1,C,H29571,H,,,,43.5,206,No failure
159,14/01/2021 00:52,1,B,M15018,M,,,1499,40,,No failure
160,17/03/2021 23:09,1,A,L47339,L,298.4,308.2,1471,,,No failure
161,03/07/2021 03:14,1,C,L47340,L,,,,60.7,216,Overstrain Failure
162,02/07/2021 04:26,1,C,L47341,L,,,,52.3,218,Overstrain Failure
163,17/03/2014 10:56,2,B,L47342,L,,,1586,35.5,,No failure
164,15/03/2014 23:01,2,A,M15023,M,298.4,308.2,1468,,,No failure
165,27/05/2014 04:25,2,B,M15024,M,,,1440,43.6,,No failure
166,22/05/2014 05:28,2,C,L47345,L,,,,26,8,No failure
167,23/05/2014 23:33,2,A,H29580,H,298.4,308.2,1612,,,No failure
168,25/05/2014 15:00,2,B,H29581,H,,,1458,42.9,,No failure
169,26/05/2014 20:37,2,B,L47348,L,,,1433,62.3,,Power Failure
170,25/07/2014 19:36,2,B,L47349,L,,,1318,59.1,,No failure
171,25/07/2014 19:58,2,C,M15030,M,,,,35,24,No failure
172,14/11/2014 22:08,2,B,L47351,L,,,1462,50.8,,No failure
173,16/11/2014 18:13,2,B,M15032,M,,,1924,20.8,,No failure
174,13/11/2014 19:45,2,C,M15033,M,,,,33.7,32,No failure
175,16/11/2014 03:49,2,C,L47354,L,,,,58.3,35,No failure
176,11/03/2015 13:52,2,C,L47355,L,,,,43.5,37,No failure
177,06/03/2015 04:27,2,C,L47356,L,,,,34.7,39,No failure
178,06/03/2015 01:17,2,B,L47357,L,,,1988,21.4,,No failure
179,25/06/2015 11:18,2,C,L47358,L,,,,50.2,43,No failure
180,26/06/2015 05:33,2,A,L47359,L,298.2,308.3,1304,,,No failure
181,05/09/2015 01:34,2,A,L47360,L,298.2,308.3,1475,,,No failure
182,08/09/2015 18:55,2,B,H29595,H,,,1824,24.2,,No failure
183,01/01/2016 00:10,2,B,M15042,M,,,1342,48.1,,No failure
184,30/12/2015 09:10,2,A,L47363,L,298.1,308.2,1485,,,No failure
185,31/12/2015 10:22,2,C,L47364,L,,,,30.6,59,No failure
186,25/03/2016 18:26,2,B,L47365,L,,,1446,38.2,,No failure
187,26/03/2016 00:11,2,B,L47366,L,,,1301,56,,No failure
188,24/03/2016 20:21,2,A,L47367,L,298.2,308.4,1379,,,No failure
189,24/05/2016 17:31,2,C,L47368,L,,,,33.6,67,No failure
190,23/05/2016 22:09,2,B,M15049,M,,,1539,43.4,,No failure
191,25/05/2016 12:22,2,C,L47370,L,,,,49.9,72,No failure
192,24/05/2016 21:30,2,A,L47371,L,298.2,308.4,1666,,,No failure
193,24/05/2016 03:35,2,C,H29606,H,,,,51.8,76,No failure
194,14/08/2016 03:54,2,C,H29607,H,,,,34.6,81,No failure
195,16/10/2016 20:36,2,B,M15054,M,,,2678,10.7,,Power Failure
196,14/10/2016 00:53,2,A,L47375,L,298.3,308.5,1453,,,No failure
197,17/10/2016 07:49,2,B,H29610,H,,,1432,49.5,,No failure
198,14/10/2016 04:36,2,A,M15057,M,298.4,308.6,1527,,,No failure
199,17/10/2016 07:57,2,C,L47378,L,,,,35,99,No failure
200,27/12/2016 23:15,2,C,L47379,L,,,,47.1,101,No failure
201,27/12/2016 13:46,2,B,L47380,L,,,1609,35,,No failure
202,28/12/2016 14:56,2,C,L47381,L,,,,41.2,105,No failure
203,31/12/2016 18:08,2,B,M15062,M,,,1636,35.7,,No failure
204,26/12/2016 18:36,2,B,L47383,L,,,1490,37.9,,No failure
205,18/04/2017 20:22,2,A,L47384,L,298.4,308.5,1741,,,No failure
206,18/04/2017 22:20,2,B,M15065,M,,,1344,53,,No failure
207,17/04/2017 07:35,2,B,L47386,L,,,1609,35.3,,No failure
208,22/04/2017 04:10,2,B,M15067,M,,,1421,60.7,,Power Failure
209,09/08/2017 23:31,2,A,L47388,L,298.4,308.6,1591,,,No failure
210,10/08/2017 12:54,2,B,L47389,L,,,1477,44,,No failure
211,14/08/2017 08:16,2,B,L47390,L,,,1523,36.1,,No failure
212,03/12/2017 07:42,2,B,L47391,L,,,1575,33.9,,No failure
213,30/11/2017 03:23,2,C,H29626,H,,,,52.9,130,No failure
214,30/11/2017 06:22,2,C,L47393,L,,,,44.9,135,No failure
215,02/12/2017 03:08,2,B,M15074,M,,,1589,37.1,,No failure
216,26/02/2018 07:59,2,A,L47395,L,298.3,308.6,1548,,,No failure
217,25/02/2018 22:13,2,A,L47396,L,298.3,308.6,1499,,,No failure
218,06/06/2018 06:47,2,A,L47397,L,298.3,308.5,1664,,,No failure
219,07/06/2018 04:46,2,B,L47398,L,,,1447,38.1,,No failure
220,10/06/2018 08:27,2,B,M15079,M,,,1434,46.2,,No failure
221,10/09/2018 02:34,2,A,L47400,L,298.3,308.5,1416,,,No failure
222,11/09/2018 05:24,2,C,H29635,H,,,,24.3,153,No failure
223,12/09/2018 05:22,2,B,L47402,L,,,1304,45,,No failure
224,01/12/2018 01:41,2,B,L47403,L,,,1569,34.4,,No failure
225,02/12/2018 23:49,2,B,L47404,L,,,1584,29.3,,No failure
226,30/11/2018 07:29,2,B,L47405,L,,,1362,53.8,,No failure
227,30/03/2019 00:36,2,B,L47406,L,,,1329,49.2,,No failure
228,30/03/2019 02:51,2,C,L47407,L,,,,36.1,168,No failure
229,24/07/2019 11:02,2,A,M15088,M,298.3,308.5,1629,,,No failure
230,23/07/2019 20:26,2,A,L47409,L,298.3,308.5,1538,,,No failure
231,26/07/2019 01:30,2,A,L47410,L,298.3,308.6,1570,,,No failure
232,23/07/2019 11:49,2,A,L47411,L,298.3,308.4,1408,,,No failure
233,23/07/2019 02:31,2,A,L47412,L,298.2,308.4,1424,,,No failure
234,04/11/2019 01:11,2,B,L47413,L,,,1512,34.9,,No failure
235,06/11/2019 04:14,2,A,L47414,L,298.2,308.4,1478,,,No failure
236,09/01/2020 09:04,2,A,M15095,M,298.1,308.3,1680,,,No failure
237,09/01/2020 17:07,2,A,L47416,L,298.1,308.3,1495,,,No failure
238,09/01/2020 10:35,2,C,M15097,M,,,,36.6,190,No failure
239,08/01/2020 01:03,2,B,L47418,L,,,1393,50.3,,No failure
240,23/04/2020 22:52,2,C,L47419,L,,,,30.6,195,No failure
241,11/08/2020 06:00,2,B,M15100,M,,,1339,51.6,,No failure
242,06/08/2020 18:26,2,A,L47421,L,298,308.1,1777,,,No failure
243,08/08/2020 02:07,2,C,L47422,L,,,,58.8,202,Overstrain Failure
244,10/08/2020 11:36,2,A,L47423,L,298,308.2,1442,,,No failure
245,10/08/2020 05:53,2,B,M15104,M,,,1395,49.1,,No failure
246,17/10/2020 22:31,2,A,M15105,M,297.9,308.1,1627,,,No failure
247,18/10/2020 15:00,2,A,L47426,L,297.9,308.1,1585,,,No failure
248,05/01/2021 19:51,2,A,L47427,L,298,308.2,1469,,,No failure
249,02/01/2021 06:02,2,C,L47428,L,,,,56.8,216,Overstrain Failure
250,02/01/2021 09:55,2,C,L47429,L,,,,56.2,218,Overstrain Failure
251,24/03/2014 02:55,3,B,L47430,L,,,1662,32.7,,No failure
252,25/03/2014 02:58,3,C,M15111,M,,,,42.6,2,No failure
253,26/03/2014 18:28,3,C,L47432,L,,,,35.8,5,No failure
254,15/06/2014 03:40,3,B,L47433,L,,,1357,48.2,,No failure
255,15/06/2014 11:41,3,C,L47434,L,,,,37.9,9,No failure
256,11/06/2014 11:41,3,C,L47435,L,,,,40.4,11,No failure
257,01/09/2014 07:59,3,A,L47436,L,298.1,308.3,1331,,,No failure
258,01/09/2014 20:29,3,C,L47437,L,,,,29.5,15,No failure
259,04/12/2014 21:37,3,C,L47438,L,,,,37.9,17,No failure
260,06/12/2014 16:51,3,B,M15119,M,,,1420,63.9,,Power Failure
261,04/12/2014 09:46,3,C,M15120,M,,,,49.1,22,No failure
262,04/12/2014 09:22,3,B,L47441,L,,,1654,32.1,,No failure
263,16/03/2015 10:35,3,B,M15122,M,,,1736,26.8,,No failure
264,18/03/2015 11:14,3,C,M15123,M,,,,32.3,30,No failure
265,18/03/2015 09:49,3,A,L47444,L,298.1,308.2,1390,,,No failure
266,09/06/2015 22:18,3,C,L47445,L,,,,37.1,35,No failure
267,08/06/2015 10:57,3,A,H29680,H,298,308.1,1440,,,No failure
268,10/06/2015 06:48,3,B,L47447,L,,,1954,21.1,,No failure
269,22/09/2015 08:00,3,A,H29682,H,297.9,308,1800,,,No failure
270,22/09/2015 20:35,3,C,L47449,L,,,,37,49,No failure
271,19/09/2015 02:18,3,A,H29684,H,298,308,1520,,,No failure
272,21/09/2015 19:18,3,B,M15131,M,,,1452,40.8,,No failure
273,25/11/2015 11:21,3,B,L47452,L,,,1484,40.4,,No failure
274,25/11/2015 11:16,3,B,L47453,L,,,1426,46,,No failure
275,26/11/2015 06:48,3,C,L47454,L,,,,28.5,63,No failure
276,24/11/2015 05:05,3,C,L47455,L,,,,54.7,65,No failure
277,16/03/2016 13:43,3,A,M15136,M,298,307.9,1750,,,No failure
278,16/03/2016 08:16,3,B,H29691,H,,,1479,50.7,,No failure
279,13/03/2016 11:09,3,B,M15138,M,,,1620,29.4,,No failure
280,10/06/2016 11:16,3,B,L47459,L,,,1819,23.4,,No failure
281,12/06/2016 06:01,3,B,M15140,M,,,1456,43.7,,No failure
282,09/06/2016 11:24,3,A,L47461,L,298.1,308,1626,,,No failure
283,14/08/2016 00:56,3,C,M15142,M,,,,49.8,85,No failure
284,09/08/2016 07:19,3,C,L47463,L,,,,43,88,No failure
285,13/08/2016 17:31,3,C,L47464,L,,,,19.2,90,No failure
286,10/08/2016 08:46,3,C,L47465,L,,,,36,92,No failure
287,10/08/2016 11:56,3,C,L47466,L,,,,33.2,94,No failure
288,18/10/2016 12:24,3,C,L47467,L,,,,31.6,96,No failure
289,18/10/2016 23:28,3,C,H29702,H,,,,42.2,98,No failure
290,16/10/2016 20:17,3,B,L47469,L,,,1436,46.7,,No failure
291,01/02/2017 19:37,3,C,L47470,L,,,,45.6,105,No failure
292,25/04/2017 19:08,3,B,L47471,L,,,1473,42.6,,No failure
293,24/04/2017 11:54,3,C,L47472,L,,,,40.2,109,No failure
294,30/06/2017 00:12,3,B,H29707,H,,,1392,44.8,,No failure
295,04/07/2017 13:37,3,C,M15154,M,,,,51.1,116,No failure
296,21/09/2017 10:40,3,C,M15155,M,,,,30.7,119,No failure
297,18/09/2017 10:36,3,B,L47476,L,,,1395,46.2,,No failure
298,26/12/2017 15:25,3,C,L47477,L,,,,25.3,124,No failure
299,23/12/2017 09:15,3,C,H29712,H,,,,18.7,126,No failure
300,21/12/2017 22:56,3,C,M15159,M,,,,35.6,131,No failure
301,26/12/2017 22:52,3,A,L47480,L,297.8,308.4,1622,,,No failure
302,19/03/2018 09:54,3,A,L47481,L,297.7,308.4,1740,,,No failure
303,20/03/2018 02:06,3,B,H29716,H,,,1512,35.1,,No failure
304,17/03/2018 08:49,3,B,M15163,M,,,1479,43.5,,No failure
305,19/03/2018 15:59,3,C,L47484,L,,,,27.5,146,No failure
306,17/07/2018 18:29,3,B,L47485,L,,,2129,19.2,,No failure
307,18/07/2018 18:12,3,C,L47486,L,,,,47.1,150,No failure
308,09/11/2018 18:51,3,B,M15167,M,,,1579,36.6,,No failure
309,13/11/2018 13:10,3,B,L47488,L,,,1305,47.2,,No failure
310,09/11/2018 04:38,3,B,M15169,M,,,1449,40.8,,No failure
311,27/02/2019 00:00,3,B,H29724,H,,,1526,41.8,,No failure
312,26/05/2019 14:25,3,B,M15171,M,,,1453,44.1,,No failure
313,29/05/2019 00:17,3,A,L47492,L,297.9,308.6,1468,,,No failure
314,24/05/2019 23:26,3,C,L47493,L,,,,50.8,170,No failure
315,28/05/2019 20:06,3,B,M15174,M,,,1300,53,,No failure
316,28/05/2019 03:04,3,A,L47495,L,297.9,308.4,1646,,,No failure
317,27/07/2019 13:28,3,A,L47496,L,297.8,308.4,1714,,,No failure
318,21/10/2019 00:01,3,C,L47497,L,,,,28.4,179,No failure
319,11/02/2020 10:06,3,C,L47498,L,,,,39.9,181,No failure
320,21/04/2020 21:51,3,B,L47499,L,,,1612,32.1,,No failure
321,21/04/2020 17:58,3,A,H29734,H,297.8,308.4,1550,,,No failure
322,23/04/2020 19:22,3,A,L47501,L,297.8,308.4,1518,,,No failure
323,23/04/2020 04:58,3,A,L47502,L,297.8,308.5,1448,,,No failure
324,22/04/2020 11:18,3,B,L47503,L,,,1561,46.3,,No failure
325,21/08/2020 04:57,3,B,M15184,M,,,1488,41.9,,No failure
326,19/08/2020 22:20,3,C,L47505,L,,,,27.8,199,No failure
327,24/08/2020 09:15,3,A,L47506,L,297.7,308.5,1501,,,No failure
328,22/08/2020 03:28,3,C,L47507,L,,,,56.7,203,Overstrain Failure
329,20/08/2020 07:32,3,B,H29742,H,,,1703,31.4,,No failure
330,03/12/2020 09:13,3,C,H29743,H,,,,29.9,210,No failure
331,20/03/2021 07:44,3,C,M15190,M,,,,41.9,215,No failure
332,20/03/2021 09:16,3,C,M15191,M,,,,51.9,218,No failure
333,17/04/2014 07:14,4,C,M15192,M,,,,40.2,0,No failure
334,17/04/2014 03:24,4,B,L47513,L,,,1647,31.3,,No failure
335,16/04/2014 10:05,4,B,M15194,M,,,1469,44.8,,No failure
336,19/04/2014 04:45,4,C,L47515,L,,,,25.9,8,No failure
337,15/07/2014 19:23,4,A,M15196,M,297.6,308.2,1995,,,No failure
338,02/11/2014 11:25,4,B,L47517,L,,,1742,27.7,,No failure
339,03/11/2014 02:08,4,C,L47518,L,,,,38.2,15,No failure
340,05/11/2014 09:58,4,B,M15199,M,,,1713,32.2,,No failure
341,04/11/2014 19:30,4,B,L47520,L,,,1474,39.4,,No failure
342,01/11/2014 18:49,4,B,M15201,M,,,1530,32.6,,No failure
343,02/03/2015 20:25,4,C,L47522,L,,,,46.5,25,No failure
344,01/03/2015 21:13,4,C,L47523,L,,,,48.6,27,No failure
345,13/05/2015 11:07,4,B,M15204,M,,,2448,13.8,,No failure
346,11/05/2015 18:38,4,B,L47525,L,,,1585,32.9,,No failure
347,12/05/2015 11:33,4,B,M15206,M,,,1459,45.2,,No failure
348,08/05/2015 23:50,4,A,L47527,L,297.5,308.3,1544,,,No failure
349,20/08/2015 21:22,4,B,L47528,L,,,1617,31.7,,No failure
350,17/08/2015 17:40,4,C,L47529,L,,,,34.3,41,No failure
351,01/11/2015 15:13,4,B,H29764,H,,,1400,44.3,,No failure
352,01/11/2015 05:51,4,B,M15211,M,,,1611,31,,No failure
353,04/11/2015 03:44,4,C,M15212,M,,,,46,51,No failure
354,02/11/2015 06:51,4,B,H29767,H,,,1674,30,,No failure
355,01/11/2015 17:51,4,B,L47534,L,,,1658,34.3,,No failure
356,14/01/2016 14:22,4,C,L47535,L,,,,36.9,61,No failure
357,04/04/2016 03:10,4,A,M15216,M,297.6,308.4,1398,,,No failure
358,02/04/2016 09:07,4,C,L47537,L,,,,34.2,66,No failure
359,03/04/2016 04:07,4,A,M15218,M,297.6,308.3,1467,,,No failure
360,31/03/2016 02:09,4,C,M15219,M,,,,34.6,71,No failure
361,21/06/2016 20:29,4,B,M15220,M,,,1521,38.2,,No failure
362,20/06/2016 23:22,4,A,L47541,L,297.5,308.3,1596,,,No failure
363,30/09/2016 15:37,4,C,H29776,H,,,,30.9,79,No failure
364,03/10/2016 07:02,4,A,L47543,L,297.6,308.3,1438,,,No failure
365,01/10/2016 22:57,4,B,L47544,L,,,1407,55.2,,No failure
366,18/01/2017 01:44,4,B,L47545,L,,,1353,57.5,,No failure
367,31/03/2017 19:07,4,B,M15226,M,,,1552,40.9,,No failure
368,28/03/2017 15:01,4,C,M15227,M,,,,38.3,93,No failure
369,30/03/2017 15:40,4,A,L47548,L,297.5,308.4,1489,,,No failure
370,29/03/2017 16:30,4,A,H29783,H,297.5,308.4,1587,,,No failure
